,IE1,,,,IE2,,,,IE3,,,,IE4,,,
,poles,,,,poles,,,,poles,,,,poles,,,
kW,2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8
0.12,45.00,50.00,38.30,31.00,53.60,59.10,50.60,39.80,60.80,64.80,57.70,50.70,66.50,69.80,64.90,62.30
0.18,52.80,57.00,45.50,38.00,60.40,64.70,56.60,45.90,65.90,69.90,63.90,58.70,70.80,74.70,70.10,67.20
0.20,54.60,58.50,47.60,39.70,61.90,65.90,58.20,47.40,67.20,71.10,65.40,60.60,71.90,75.80,71.40,68.40
0.25,58.20,61.50,52.10,43.70,64.80,68.50,61.60,50.60,69.70,73.50,68.60,64.10,74.30,77.90,74.10,70.80
0.37,63.90,66.00,59.70,49.70,69.50,72.70,67.60,56.10,73.80,77.30,73.50,69.30,78.10,81.10,78.00,74.30
0.40,64.90,66.80,61.10,50.90,70.40,73.50,68.80,57.20,74.60,78.00,74.40,70.10,78.90,81.70,78.70,74.90
0.55,69.00,70.00,65.80,56.10,74.10,77.10,73.10,61.70,77.80,80.80,77.20,73.00,81.50,83.90,80.90,77.00
0.75,72.10,72.10,70.00,61.20,77.40,79.60,75.90,66.20,80.70,82.50,78.90,75.00,83.50,85.70,82.70,78.40
1.10,75.00,75.00,72.90,66.50,79.60,81.40,78.10,70.80,82.70,84.10,81.00,77.70,85.20,87.20,84.50,80.80
1.50,77.20,77.20,75.20,70.20,81.30,82.80,79.80,74.10,84.20,85.30,82.50,79.70,86.50,88.20,85.90,82.60
2.20,79.70,79.70,77.70,74.20,83.20,84.30,81.80,77.60,85.90,86.70,84.30,81.90,88.00,89.50,87.40,84.50
3.00,81.50,81.50,79.70,77.00,84.60,85.50,83.30,80.00,87.10,87.70,85.60,83.50,89.10,90.40,88.60,85.90
4.00,83.10,83.10,81.40,79.20,85.80,86.60,84.60,81.90,88.10,88.60,86.80,84.80,90.00,91.10,89.50,87.10
5.50,84.70,84.70,93.10,81.40,87.00,87.70,86.00,83.80,89.20,89.60,88.00,86.20,90.90,91.90,90.50,88.30
7.50,86.00,86.00,84.70,83.10,88.10,88.70,87.20,85.30,90.10,90.40,89.10,87.30,91.70,92.60,91.30,89.30
11.00,87.60,87.60,86.40,85.00,89.40,89.80,88.70,86.90,91.20,91.40,90.30,88.60,92.60,93.30,92.30,90.40
15.00,88.70,88.70,87.70,86.20,90.30,90.60,89.70,88.00,91.90,92.10,91.20,89.60,93.30,93.90,92.90,91.20
18.50,89.30,89.30,88.60,86.90,90.90,91.20,90.40,88.60,82.40,92.60,91.70,90.10,93.70,94.20,93.40,91.70
22.00,89.90,89.90,89.20,87.40,91.30,91.60,90.90,89.10,92.70,93.00,92.20,90.60,94.00,94.50,93.70,92.10
30.00,90.70,90.70,90.20,88.30,92.00,92.30,91.70,89.80,93.30,93.60,92.90,91.30,94.50,94.90,94.20,92.70
37.00,91.20,91.20,90.80,88.80,92.50,92.70,92.20,90.30,93.70,93.90,93.30,91.80,94.80,95.20,94.50,93.10
45.00,91.70,91.70,91.40,89.20,92.90,93.10,92.70,90.70,94.00,94.20,93.70,92.20,95.00,95.40,94.80,93.40
55.00,92.10,92.10,91.90,89.70,93.20,93.50,93.10,91.00,94.30,94.60,94.10,92.50,95.30,95.70,95.10,93.70
75.00,92.70,92.70,92.60,90.30,93.80,94.00,93.70,91.60,94.70,95.00,94.60,93.10,95.60,96.00,95.40,94.20
90.00,93.00,93.00,92.90,90.70,94.10,94.20,94.00,91.90,95.00,95.20,94.90,93.40,95.80,96.10,95.60,94.40
110.00,93.30,93.30,93.30,91.10,94.30,94.50,94.30,92.30,95.20,95.40,95.10,93.70,96.00,96.30,95.80,94.70
132.00,93.50,93.50,93.50,91.50,94.60,94.70,94.60,92.60,95.40,95.60,95.40,94.00,96.20,96.40,96.00,94.90
160.00,93.80,93.80,93.80,91.90,94.80,94.90,94.80,93.00,95.60,95.80,95.60,94.30,96.30,96.60,96.20,95.10
200.00,94.00,94.00,94.00,92.50,95.00,95.10,95.00,93.50,95.80,96.00,95.80,94.60,96.50,96.70,96.30,95.40
250.00,94.00,94.00,94.00,92.50,95.00,95.10,95.00,93.50,95.80,96.00,95.80,94.60,96.50,96.70,96.50,95.40
315.00,94.00,94.00,94.00,92.50,95.00,95.10,95.00,93.50,95.80,96.00,95.80,94.60,96.50,96.70,96.60,95.40
355.00,94.00,94.00,94.00,92.50,95.00,95.10,95.00,93.50,95.80,96.00,95.80,94.60,96.50,96.70,96.60,95.40
375.00,94.00,94.00,94.00,92.50,95.00,95.10,95.00,93.50,95.80,96.00,95.80,94.60,96.50,96.70,96.60,95.40
400.00,94.00,94.00,94.00,92.50,95.00,95.10,95.00,93.50,95.80,96.00,95.80,94.60,96.50,96.70,96.60,95.40
450.00,94.00,94.00,94.00,92.50,95.00,95.10,95.00,93.50,95.80,96.00,95.80,94.60,96.50,96.70,96.60,95.40
500-1000,94.00,94.00,94.00,92.50,95.00,95.10,95.00,93.50,95.80,96.00,95.80,94.60,96.50,96.70,96.60,95.40
