Значення,Формула,Примітка
Φ,P * η,Яскравість в люменах
Pref,Φ >= 1300 ? 0.07341 * Φ : 0.88 * sqrt(Φ + 0.49 * Φ),-
EEI,P / Pref,Коефіцієнт енергоефективності
lightRateLux,lightRateInLum * roomArea,Рівень освітлення в люксах
P,lightRateLux / quantity / η,Потужність
workingHoursInWeek,hoursInDay * daysInWeek,Кількість робочих годин на тиждень
workingHoursInYear,workingHoursInWeek * weeksInYear,Кількість робочих годин на рік
energyEconomy,((Pselected * quantity - Pother * quantity) * workingHoursInYear) / 1000,Економія енергії за рік
lifetimeEnergyEconomy,((Pselected * quantity - Pother * quantity) * timeRate) / 1000,Економія енергії за термін служби
financeEconomy,(Pselected * 0.001 * quantity * tariff - Pother * 0.001 * quantity * tariff) * workingHoursInYear,Фінансова економія за рік
lifetimeFinanceEconomy,(Pselected * 0.001 * quantity * tariff - Pother * 0.001 * quantity * tariff) * timeRate,Фінансова економія за термін служби
